DBMS,Database Model,May 2025 Score,Apr 2025 Score Change,May 2024 Score Change
Sequoiadb,Multi-modelDocument storeRelational DBMS,0.32,-0.01,-0.12
Kyligence Enterprise,Relational,0.32,+0.02,-0.08
Cloudflare Workers KV,Key-value,0.32,+0.03,-0.01
Northgate Reality,Multivalue,0.31,-0.01,-0.71
Strabon,RDF,0.31,+0.00,-0.10
ModeShape,Content,0.30,-0.01,-0.07
Perst,Object oriented,0.29,-0.04,-0.40
Elassandra, Wide column, Multi-modelWide column storeSearch engine ,0.29,+0.00,0.00
Starcounter,Object oriented,0.28,0.00,0.00
Tajo,Relational,0.28,-0.06,-0.08
Project Voldemort,Key-value,0.28,+0.01,-0.06
Manticore Search, Search engine, Multi-modelSearch engineTime Series DBMS ,0.28,+0.02,+0.06
FeatureBase,Relational,0.27,+0.05,+0.05
Vald,Vector,0.27,-0.03,-0.36
4store,RDF,0.27,+0.00,-0.06
InfiniteGraph,Graph,0.27,+0.01,-0.07
RaptorDB,Document,0.27,0.00,+0.27
Raima Database Manager,Multi-modelRelational DBMSTime Series DBMS,0.27,+0.00,-0.19
Databend,Relational,0.27,+0.02,-0.03
CnosDB,Time Series,0.27,0.00,-0.12
OpenQM,Multivalue,0.27,+0.02,-0.01
MyScale,Multi-modelRelational DBMSVector DBMS,0.26,+0.00,+0.06
Immudb, Key-value, Multi-modelKey-value storeRelational DBMS ,0.26,+0.00,+0.02
Fujitsu Enterprise Postgres, Relational, Multi-modelRelational DBMSDocument storeSpatial DBMS ,0.26,+0.02,-0.06
LeanXcale,Multi-modelKey-value storeRelational DBMS,0.25,+0.03,-0.04
Brytlyt,Relational,0.25,+0.00,-0.04
Alibaba Cloud TSDB,Time Series,0.25,+0.02,+0.01
RDFox,Multi-modelGraph DBMSRDF storeRelational DBMS,0.24,+0.01,+0.02
chDB, Relational, Multi-modelRelational DBMSTime Series DBMS ,0.23,+0.08,+0.23
Redland,RDF,0.23,+0.01,-0.10
Valentina Server,Relational,0.23,+0.04,+0.06
RedStore,RDF,0.22,+0.00,+0.03
Faircom DB,Multi-modelKey-value storeRelational DBMS,0.22,+0.05,+0.02
Axibase,Time Series,0.22,+0.03,-0.07
YTsaurus,Multi-modelDocument storeKey-value store,0.22,+0.01,+0.11
Actian FastObjects,Object oriented,0.21,0.00,0.00
AnzoGraph DB,Multi-modelGraph DBMSRDF store,0.21,+0.03,-0.02
Mimer SQL,Relational,0.21,0.00,-0.07
Actian PSQL,Relational,0.20,-0.07,+0.08
YottaDB, Key-value, Multi-modelKey-value storeRelational DBMS ,0.20,+0.02,0.00
IBM Db2 Event Store,Multi-modelEvent StoreTime Series DBMS,0.20,+0.01,+0.01
Badger,Key-value,0.20,+0.01,+0.06
XTDB,Document,0.20,0.00,+0.09
FalkorDB,Graph,0.19,-0.01,
PipelineDB,Relational,0.19,+0.00,-0.07
Riak TS,Time Series,0.19,+0.03,-0.01
Apache HugeGraph,Graph,0.18,+0.01,+0.05
TransLattice,Relational,0.18,0.00,+0.00
Quasardb,Time Series,0.17,+0.04,+0.04
Speedb,Key-value,0.17,+0.05,-0.04
Alibaba Cloud Table Store,Wide column,0.17,-0.01,-0.09
Tibco ComputeDB,Relational,0.17,0.00,-0.05
NEventStore,Event,0.15,0.00,-0.01
GreptimeDB,Time Series,0.15,+0.02,+0.09
Ultipa,Graph,0.15,+0.00,+0.02
TerminusDB, Graph, Multi-modelGraph DBMSDocument storeRDF store ,0.15,+0.02,-0.03
Mulgara,RDF,0.15,+0.01,+0.02
XtremeData,Relational,0.15,0.00,+0.01
HyperGraphDB,Graph,0.15,+0.00,-0.04
Warp 10,Time Series,0.15,+0.01,+0.08
EsgynDB,Relational,0.15,0.00,-0.01
BigObject,Relational,0.14,0.00,+0.01
ElevateDB,Relational,0.14,0.00,-0.14
AgensGraph,Multi-modelGraph DBMSRelational DBMS,0.14,0.00,-0.06
PieCloudDB,Relational,0.13,-0.01,-0.11
FlockDB,Graph,0.13,-0.02,-0.09
Lovefield,Relational,0.13,+0.01,-0.16
EJDB,Document,0.12,+0.01,-0.16
Bangdb,Multi-modelDocument storeGraph DBMSTime Series DBMSSpatial DBMS,0.11,+0.04,+0.03
ArcadeDB,Multi-modelDocument storeGraph DBMSKey-value storeTime Series DBMS,0.11,+0.05,+0.09
GraphBase,Graph,0.11,+0.00,-0.03
Machbase Neo,Time Series,0.09,+0.01,-0.02
Kyoto Tycoon,Key-value,0.09,+0.01,-0.17
Sparksee,Graph,0.09,0.00,0.00
SiteWhere,Time Series,0.07,0.00,+0.02
Jade,Object oriented,0.07,-0.01,-0.30
Exorbyte,Search engine,0.07,+0.01,+0.01
CubicWeb,RDF,0.06,+0.00,-0.04
ScaleOut StateServer,Key-value,0.06,0.00,+0.01
Tokyo Tyrant,Key-value,0.06,-0.01,-0.15
Tigris,Multi-modelDocument storeKey-value storeSearch engineTime Series DBMS,0.06,0.00,+0.04
Blueflood,Time Series,0.06,0.00,0.00
Elliptics,Key-value,0.06,0.00,-0.15
ReductStore,Time Series,0.06,+0.01,+0.06
TinkerGraph,Graph,0.05,+0.00,-0.03
SenseiDB,Document,0.05,0.00,0.00
OpenMLDB, Time Series, Multi-modelTime Series DBMSRelational DBMS ,0.05,+0.02,+0.02
NosDB,Document,0.04,0.00,0.00
JaguarDB,Multi-modelKey-value storeVector DBMS,0.04,+0.03,+0.04
AntDB,Relational,0.03,+0.00,-0.22
Sadas Engine,Relational,0.03,+0.03,+0.03
WakandaDB,Object oriented,0.03,0.00,0.00
Faircom EDGE,Multi-modelKey-value storeRelational DBMS,0.03,+0.01,+0.01
JethroData,Relational,0.03,0.00,0.00
STSdb,Key-value,0.03,0.00,-0.01
Heroic,Time Series,0.02,+0.00,-0.49
Dydra,RDF,0.02,0.00,0.00
SmallSQL,Relational,0.02,+0.00,0.00
Kuzu,Graph,0.02,+0.00,
openGemini,Time Series,0.02,+0.02,+0.01
